Copper T,Copper C,Brass T,Brass C,Ti T,Ti C,PB T,PB C,S T,S C,Al T,Al C
65.966293,5112457.368,26.326111,8280097.45,40.538868,1495048.121,91.486137,45916516.97,82.507874,834787.2452,41.831741,11651167.14
67.716026,5128128.827,26.859137,8244596.828,44.343601,1474274.044,93.058403,45720292.54,84.659149,823572.4119,44.098648,11634133.27
67.833717,5125986.155,26.670851,8232830.839,44.44622,1473131.075,93.158295,45720292.54,84.712898,823182.5794,44.320045,11634133.27
67.912697,5122419.01,26.854412,8242913.914,44.548172,1472871.557,93.263039,45671498.21,84.776588,822567.8053,44.573963,11634133.27
67.994316,5123845.272,26.546684,8242913.914,44.659775,1472249.085,93.341118,45622807.91,84.814354,822342.6181,44.736164,11630732.47
68.09861,5121706.177,26.211706,8244596.828,44.746502,1471938.047,93.420738,45622807.91,84.863846,821422.6803,44.907417,11627333.66
68.188599,5123132.042,25.870604,8244596.828,44.847507,1471161.025,93.437088,45622807.91,84.911247,821341.0077,45.108761,11627333.66
68.260094,5125986.155,25.588238,8244596.828,44.953804,1470488.269,93.40683,45574221.32,84.97316,820790.1418,45.316414,11627333.66
68.348587,5127414.404,25.435156,8242913.914,45.05975,1470229.681,93.404701,45525738.11,85.032928,820402.9382,45.524036,11623936.83
68.497536,5128843.449,25.311466,8246280.43,45.160755,1469299.516,93.484016,45574221.32,85.108429,820219.6534,45.743073,11623936.83
68.629227,5129558.27,25.276678,8241231.687,45.259243,1469041.345,93.606621,45525738.11,85.187225,819182.5848,45.945812,11620541.99
68.747803,5127414.404,25.148565,8244596.828,45.372631,1468009.57,93.764946,45525738.11,85.259705,818614.3281,46.141594,11620541.99
68.844635,5125986.155,25.045397,8244596.828,45.471741,1467288.19,93.953575,45429080.49,85.341843,818046.8592,46.360504,11617149.13
68.94442,5130273.291,25.009661,8244596.828,45.577351,1467236.69,94.123451,45477357.94,85.421562,817824.1403,46.57338,11613758.25
69.028427,5133851.387,25.588238,8244596.828,45.685753,1466310.306,94.306046,45429080.49,85.461418,817156.7103,46.757019,11613758.25
69.141037,5138869.113,25.710932,8271617.219,45.8106,1465641.979,94.442017,45477357.94,85.499466,816631.6232,46.936119,11610369.35
69.268837,5140304.552,25.563881,8285193.94,45.918686,1465128.295,94.501671,45380905.43,85.55381,815724.4116,47.141399,11613758.25
69.376671,5144615.682,25.414288,8232830.839,46.018044,1464307.15,94.54377,45429080.49,85.591263,816006.4391,47.331276,11606982.43
69.51696,5148934.05,25.253283,8191082.204,46.135422,1463948.188,94.630402,45332832.44,85.656502,814939.7903,47.57888,11606982.43
69.620918,5151095.954,25.290596,8244596.828,46.244385,1462923.553,94.777885,45380905.43,85.713562,814176.7381,47.813232,11606982.43
69.705833,5149654.483,25.277941,8241231.687,46.353359,1462360.614,94.908134,45380905.43,85.775169,813234.9373,48.033691,11606982.43
69.763008,5150375.118,25.395941,8246280.43,46.462936,1461798.109,94.99839,45380905.43,85.815948,813916.0218,48.259838,11603597.48
69.880371,5147493.789,25.480707,8234509.638,46.573425,1461184.96,95.126518,45332832.44,85.855492,812574.9739,48.460091,11603597.48
69.994141,5142459.213,25.665092,8242913.914,46.69355,1460470.269,95.25618,45332832.44,85.909554,811936.0315,48.656986,11600214.51
70.10376,5145334.907,25.708086,8237869.291,46.808998,1459807.254,95.309196,45332832.44,85.993515,811357.8573,48.824123,11596833.51
70.197586,5139586.732,25.690683,8207730.745,46.926598,1459195.774,95.285576,45332832.44,86.070549,811198.5059,48.976501,11596833.51
70.31881,5139586.732,25.718206,8239550.146,47.048222,1458432.143,95.278908,45284861.18,86.128525,809092.9929,49.156815,11596833.51
70.444183,5142459.213,26.165888,8239550.146,47.176365,1457516.841,95.342834,45332832.44,86.166275,809509.2542,49.357841,11593454.48
70.574341,5143896.658,26.957703,8236189.122,47.293327,1457008.836,95.449463,45236991.35,86.206741,809648.1032,49.524895,11593454.48
70.699738,5144615.682,27.804142,8241231.687,47.431347,1456196.765,95.556419,45284861.18,86.256882,808321.071,49.699738,11590077.42
70.813217,5144615.682,28.522541,8236189.122,47.538361,1457466.025,95.640648,45236991.35,86.320015,806073.1055,49.873955,11586702.32
70.902252,5145334.907,29.047504,8237869.291,47.649078,1453159.541,95.701233,45236991.35,86.397636,806112.4357,50.056561,11586702.32
70.987724,5146054.333,29.550505,8234509.638,47.774372,1454018.801,95.75972,45189222.62,86.4804,805503.2481,50.254456,11583329.19
71.054436,5143896.658,30.181091,8241231.687,47.893444,1453311.101,95.85154,45189222.62,86.535355,804855.769,50.426807,11583329.19
71.16613,5138869.113,30.840269,8237869.291,48.028008,1452705.05,95.927284,45141554.66,86.595482,802978.0981,50.620758,11583329.19
71.288231,5135284.023,31.523571,8237869.291,48.134659,1451696.087,96.032135,45189222.62,86.660103,803192.8034,50.754047,11579958.02
71.420151,5136000.641,32.221512,8231152.724,48.266411,1462002.606,96.158195,45141554.66,86.72142,802529.5397,50.910725,11576588.82
71.551186,5134567.605,32.963264,8242913.914,48.38607,1450990.646,96.28064,45093987.16,86.770676,801984.1445,51.044895,11576588.82
71.699776,5136717.458,33.773548,8263154.341,48.514404,1444822.193,96.403992,45093987.16,86.818993,800701.4985,51.141834,11576588.82
71.807884,5140304.552,34.651592,8236189.122,48.647358,1448978.874,96.520386,45046519.81,86.850708,799984.2325,51.245052,11573221.57
71.896935,5143177.835,35.433964,8206062.846,48.766983,1448025.235,96.620712,45046519.81,86.902687,799442.2902,51.355179,11573221.57
71.968391,5142459.213,36.19136,8241231.687,48.884731,1447323.357,96.711647,44999152.28,86.945274,798534.2502,51.539707,11569856.29
72.035988,5138151.695,36.859673,8232830.839,49.009602,1446572.099,96.818642,45046519.81,87.007797,797416.5296,51.785725,11569856.29
72.107468,5136000.641,37.438419,8234509.638,49.139404,1446071.694,96.918083,44951884.26,87.063095,797609.0168,52.040077,11566492.96
72.214371,5134567.605,38.044075,8234509.638,49.273224,1445171.836,97.013275,44999152.28,87.125923,797435.7742,52.254818,11563131.58
72.318893,5136000.641,38.65691,8239550.146,49.387222,1444922.074,97.156975,44951884.26,87.190567,796397.8968,52.497101,11563131.58
72.414185,5139586.732,39.239422,8247964.719,49.505234,1443525.002,97.336159,44999152.28,87.256119,795784.1322,52.662605,11563131.58
72.530022,5141740.792,39.817577,8234509.638,49.647385,1442927.083,97.503548,44904715.44,87.323189,795879.9706,52.817909,11559772.16
72.626801,5138151.695,40.413239,8212738.512,49.772816,1442080.879,97.729446,44951884.26,87.399628,794502.1217,52.983376,11556414.69
72.741432,5138151.695,41.072792,8239550.146,49.909992,1441185.98,97.931152,44904715.44,87.475166,794635.8698,53.195297,11556414.69
72.861732,5136000.641,41.75629,8231152.724,50.031353,1440639.643,98.014847,44904715.44,87.540421,793910.3493,53.346661,11553059.17
72.969231,5132419.55,42.340046,8232830.839,50.169453,1439498.641,98.023628,44904715.44,87.593605,793300.4115,53.489902,11553059.17
73.069321,5133851.387,42.861584,8209399.322,50.305965,1439102.194,98.021507,44904715.44,87.659164,793052.8918,53.660412,11549705.59
73.167877,5137434.477,43.376659,8231152.724,50.421719,1438260.469,98.071251,44857645.51,87.722008,792007.4003,53.850368,11546353.97
73.272705,5137434.477,43.879715,8227798.546,50.568455,1437271.464,98.148911,44904715.44,87.750412,791589.9751,54.009743,11546353.97
73.363213,5137434.477,44.369785,8222772.402,50.692867,1436579.969,98.280556,44857645.51,87.783653,790851.0744,54.123875,11546353.97
73.449562,5135284.023,44.867477,8229475.293,50.827171,1435691.882,98.414635,44810674.16,87.802376,790832.1464,54.308704,11543004.29
73.558853,5137434.477,45.359966,8226122.482,50.963017,1434804.892,98.59211,44810674.16,87.826851,789962.4352,54.485706,11539656.55
73.653831,5141740.792,45.834591,8224447.101,51.108124,1434214.174,98.78141,44810674.16,87.856461,787777.7212,54.643528,11539656.55
73.736313,5144615.682,46.276436,8221098.385,51.245491,1433181.587,98.918861,44763801.07,87.895142,788341.5741,54.792366,11536310.75
73.818794,5146773.96,46.677788,8224447.101,51.382217,1432444.934,99.00563,44763801.07,87.930496,787758.94,54.893871,11536310.75
73.898575,5150375.118,47.051407,8224447.101,51.522346,1431512.928,99.049019,44763801.07,87.978828,786839.7566,55.000462,11532966.89
73.974213,5152538.232,47.384907,8221098.385,51.679775,1431022.885,99.062393,44717025.93,88.046516,786652.4316,55.103455,11532966.89
74.080521,5151816.992,47.699715,8191082.204,51.832531,1429848.15,99.083923,44717025.93,88.103325,785642.4162,55.310638,11529624.97
74.184433,5151095.954,48.00639,8222772.402,51.986851,1428968.364,99.083008,44670348.45,88.148964,785119.7248,55.501022,11529624.97
74.292206,5148934.05,48.282619,8217752.394,52.154129,1427504.457,99.097572,44717025.93,88.197327,784392.8484,55.674301,11529624.97
74.412209,5149654.483,48.570248,8216080.42,52.281822,1427601.958,99.157356,44623768.32,88.245064,783444.346,55.875729,11526284.99
74.503601,5146054.333,48.845448,8214409.126,52.441639,1426627.552,99.24659,44670348.45,88.308517,782535.1981,56.123516,11522946.94
74.594131,5146773.96,49.085865,8217752.394,52.582287,1425557.241,99.354019,44577285.23,88.355362,781572.6929,56.313213,11522946.94
74.657845,5148213.819,49.336185,8216080.42,52.734375,1424682.725,99.454155,44623768.32,88.409172,780317.5992,56.445141,11519610.82
