LI/A,Voltage (V)
17743.20914,0.001956
15114.58556,0.001638
12485.96199,0.001359
9857.338411,0.001078
7228.714835,0.000786
4600.091258,0.000501
1971.467682,0.000211
,
59736.33214,0.003802
51202.5704,0.003258
42668.80867,0.002708
34135.04694,0.002184
25601.2852,0.001648
17067.52347,0.001077
8533.761734,0.000581
,
47219.83077,0.006834
40780.76294,0.005924
34341.69511,0.004998
27902.62728,0.004088
21463.55944,0.003143
15024.49161,0.002222
8585.423777,0.001559
,
32195.33916,0.003555
27902.62728,0.003039
21463.55944,0.002392
15024.49161,0.001668
8585.423777,0.00102
,
26923.55823,0.005109
23333.75047,0.00461
17949.03882,0.00325
12564.32717,0.00238
7179.615528,0.00174
,
2747.542125,0.000206
5495.084251,0.00033
8242.626376,0.000441
10990.1685,0.000565
13737.71063,0.000675
16485.25275,0.000781
19232.79488,0.000856
21980.337,0.000972
24727.87913,0.001063
27475.42125,0.001159
,
32394.07583,0.014358
28074.86572,0.01239
21596.05055,0.009456
17276.84044,0.007823
8638.42022,0.003906
,
40205.09265,0.000519
49126.22265,0.000633
56807.19558,0.000731
62287.8898,0.000803
69048.74617,0.000888
73169.26811,0.000944
