Tuesday over 2K,,Tuesday 4-7 kohm,,Thursday 1-50 kohm,,Thursday 4-7,
73.753654,33.92910506,125.163979,0.062668653,35.789562,20.84515037,21.728609,0.000563684
73.894806,33.89308754,125.440559,0.062776798,35.972977,21.19220857,21.743389,0.000590431
74.023293,33.11878776,125.715981,0.062798409,36.258484,21.06850301,21.73477,0.000590776
74.135178,33.22175017,125.997185,0.0629709,36.682652,20.94810582,21.740606,0.000588894
74.264557,32.4458776,126.268433,0.062910171,37.066368,20.82537148,21.734148,0.000589175
74.392746,33.36117838,126.543961,0.063400235,37.468067,20.57516029,21.735689,0.00058637
74.530586,32.47841966,126.81134,0.06315295,37.868393,20.46363755,21.735689,0.000587878
74.642159,32.24795747,127.058418,0.063277421,38.267384,20.25951267,21.73477,0.000587461
74.784813,31.48535872,127.316139,0.063322088,38.626904,20.03611338,21.738148,0.000587447
74.924477,31.95776934,127.548912,0.063520508,38.973431,19.87550759,21.735067,0.000584811
75.066513,31.82924164,127.80397,0.063493024,39.342846,19.66078159,21.740311,0.000585035
75.218224,31.08610933,128.047775,0.063723499,39.703884,19.507871,21.74555,0.000587251
75.358772,30.72668282,128.283112,0.06370255,40.100975,19.27506986,21.741848,0.000588621
75.503517,31.60866223,128.529129,0.06373214,40.407497,19.12975339,21.745226,0.000588236
75.633522,30.57832143,128.778214,0.06391829,40.844791,18.86923338,21.74247,0.000587716
75.780098,30.26019024,129.018814,0.063940992,41.216385,18.63698595,21.742767,0.00058703
75.927872,30.54876643,129.250015,0.064042267,41.55508,18.39890874,21.747389,0.000586223
76.078682,30.40348208,129.489746,0.064200359,41.98275,18.14636437,21.749847,0.000586008
76.218628,30.17283736,129.737152,0.064231347,42.405685,17.93792344,21.74493,0.000584145
76.36972,30.08750431,129.96022,0.06425811,42.806152,17.59804148,21.743687,0.000586206
76.522636,29.9465666,130.169281,0.064358612,43.167027,17.37814233,21.74555,0.000590008
76.670135,29.25991256,130.396347,0.064571402,43.510674,17.1217308,21.750467,0.000589306
76.812485,28.6040418,130.625595,0.0646575,43.849358,16.83752001,21.747686,0.000589963
76.965088,28.37559383,130.84967,0.064694798,44.254219,16.55377128,21.747686,0.000589202
77.122849,28.81043089,131.069199,0.064805873,44.647976,16.2385885,21.749847,0.000589413
77.280579,28.75844309,131.283585,0.064768094,44.982971,16.00910611,21.748308,0.000588489
77.425041,28.248648,131.50531,0.064834788,45.310242,15.89153945,21.749847,0.000586559
77.571022,27.97679738,131.72644,0.064995969,45.699707,15.55169784,21.745226,0.00058563
77.732101,28.73185297,131.950363,0.065381051,46.060062,15.32555675,21.754467,0.000588948
77.876884,27.07434401,132.170944,0.065000553,46.421223,15.15198507,21.749847,0.000590417
78.04911,27.30593537,132.384567,0.065292905,46.772541,14.98634086,21.755709,0.000588392
78.202621,28.22244404,132.588699,0.065208813,47.082901,14.79492757,21.752008,0.000589955
78.349838,26.38014761,132.799011,0.065445074,47.368835,14.53962698,21.757248,0.000591339
78.497925,27.09622664,133.006561,0.06547514,47.658035,14.42177517,21.756926,0.000590652
78.656601,27.37494534,133.213837,0.065590879,47.946568,14.16166437,21.757847,0.000591986
78.814667,26.7104243,133.43457,0.065596774,48.273132,13.92008697,21.762167,0.000590659
78.962463,26.93494884,133.633667,0.065724129,48.623344,13.67309517,21.758787,0.000590263
79.118095,26.29129619,133.846802,0.065724137,48.947304,13.59954962,21.763706,0.000590623
79.268929,25.92814158,134.049911,0.065787357,49.272717,13.31650708,21.763086,0.000589468
79.431541,25.90690677,134.257935,0.065945099,49.555756,13.15637137,21.760628,0.00058848
79.571495,25.61553315,134.463837,0.066021292,49.80801,12.91947834,21.763706,0.000590824
79.725647,25.92729186,134.641937,0.066080291,50.039207,12.68893623,21.765869,0.000590281
79.878601,26.16098538,134.835342,0.066010026,50.282558,12.30273526,21.766462,0.000591632
80.02462,25.78056396,135.045883,0.066162426,50.588219,12.15836764,21.765545,0.000590153
80.186012,25.75955198,135.226196,0.066203005,50.856693,12.07612737,21.773867,0.00059265
80.348328,25.69637213,135.434952,0.066361345,51.104469,11.92698743,21.768328,0.000593117
80.512756,24.68305012,135.613159,0.066369777,51.339439,11.64698657,21.776026,0.000593163
80.666016,24.66377644,135.787704,0.066434332,51.580765,11.53671687,21.774164,0.00059448
80.812042,24.3809146,135.975113,0.066566967,51.845142,11.31878172,21.773245,0.000597381
80.964111,24.14083115,136.174164,0.066657084,52.083031,11.07733766,21.774784,0.000600272
81.120415,24.72013084,136.362549,0.066621564,52.306606,10.95670943,21.783405,0.000599726
81.279716,23.76247001,136.563171,0.066706859,52.533195,10.87166268,21.780323,0.000597491
81.427246,24.04864534,136.757996,0.066878855,52.75581,10.61665869,21.781242,0.000597504
81.5905,23.90463351,136.937851,0.066924099,52.977478,10.446899,21.778784,0.000597815
81.740463,23.43040292,137.124161,0.066899595,53.216724,10.40237038,21.781864,0.000597252
81.892258,23.8499449,137.296402,0.067028993,53.464447,10.25376925,21.785563,0.000598205
82.043121,23.39565913,137.479675,0.067107081,53.781319,10.15876255,21.787403,0.000596044
82.209999,22.90835737,137.658401,0.067246353,54.126656,10.02382431,21.790806,0.000596692
82.372673,22.69623618,137.842941,0.067248146,54.471016,9.852925759,21.790483,0.000593765
82.541069,23.67237231,138.036972,0.06717403,54.744041,9.599442508,21.803722,0.000593349
82.699806,22.4240635,138.227371,0.067383614,55.047642,9.501022818,21.794804,0.00059541
