Tuesday over 2K,,Thursday 1-50 kohm,,Thursday 4-7,
73.753654,33.92910506,35.789562,52.94777616,21.728609,0.000563684
73.894806,33.89308754,35.972977,53.82932221,21.743389,0.000590431
74.023293,33.11878776,36.258484,53.51510361,21.73477,0.000590776
74.135178,33.22175017,36.682652,53.20928842,21.740606,0.000588894
74.264557,32.4458776,37.066368,52.89753676,21.734148,0.000589175
74.392746,33.36117838,37.468067,52.2619872,21.735689,0.00058637
74.530586,32.47841966,37.868393,51.97871359,21.735689,0.000587878
74.642159,32.24795747,38.267384,51.46022568,21.73477,0.000587461
74.784813,31.48535872,38.626904,50.89277976,21.738148,0.000587447
74.924477,31.95776934,38.973431,50.48483261,21.735067,0.000584811
75.066513,31.82924164,39.342846,49.93941731,21.740311,0.000585035
75.218224,31.08610933,39.703884,49.55101638,21.74555,0.000587251
75.358772,30.72668282,40.100975,48.95968927,21.741848,0.000588621
75.503517,31.60866223,40.407497,48.59057779,21.745226,0.000588236
75.633522,30.57832143,40.844791,47.92884329,21.74247,0.000587716
75.780098,30.26019024,41.216385,47.33892264,21.742767,0.00058703
75.927872,30.54876643,41.55508,46.73419403,21.747389,0.000586223
76.078682,30.40348208,41.98275,46.09271807,21.749847,0.000586008
76.218628,30.17283736,42.405685,45.56326715,21.74493,0.000584145
76.36972,30.08750431,42.806152,44.69994914,21.743687,0.000586206
76.522636,29.9465666,43.167027,44.14139375,21.74555,0.000590008
76.670135,29.25991256,43.510674,43.49009501,21.750467,0.000589306
76.812485,28.6040418,43.849358,42.76818469,21.747686,0.000589963
76.965088,28.37559383,44.254219,42.04744801,21.747686,0.000589202
77.122849,28.81043089,44.647976,41.2468672,21.749847,0.000589413
77.280579,28.75844309,44.982971,40.66396988,21.748308,0.000588489
77.425041,28.248648,45.310242,40.36534441,21.749847,0.000586559
77.571022,27.97679738,45.699707,39.50212887,21.745226,0.00058563
77.732101,28.73185297,46.060062,38.92771863,21.754467,0.000588948
77.876884,27.07434401,46.421223,38.48683746,21.749847,0.000590417
78.04911,27.30593537,46.772541,38.06609248,21.755709,0.000588392
78.202621,28.22244404,47.082901,37.57989267,21.752008,0.000589955
78.349838,26.38014761,47.368835,36.93141577,21.757248,0.000591339
78.497925,27.09622664,47.658035,36.63206599,21.756926,0.000590652
78.656601,27.37494534,47.946568,35.9713709,21.757847,0.000591986
78.814667,26.7104243,48.273132,35.35775163,21.762167,0.000590659
78.962463,26.93494884,48.623344,34.73037947,21.758787,0.000590263
79.118095,26.29129619,48.947304,34.54356992,21.763706,0.000590623
79.268929,25.92814158,49.272717,33.82462702,21.763086,0.000589468
79.431541,25.90690677,49.555756,33.4178739,21.760628,0.00058848
79.571495,25.61553315,49.80801,32.81615317,21.763706,0.000590824
79.725647,25.92729186,50.039207,32.23056412,21.765869,0.000590281
79.878601,26.16098538,50.282558,31.24959337,21.766462,0.000591632
80.02462,25.78056396,50.588219,30.88289204,21.765545,0.000590153
80.186012,25.75955198,50.856693,30.67399745,21.773867,0.00059265
80.348328,25.69637213,51.104469,30.29517417,21.768328,0.000593117
80.512756,24.68305012,51.339439,29.58395727,21.776026,0.000593163
80.666016,24.66377644,51.580765,29.30386645,21.774164,0.00059448
80.812042,24.3809146,51.845142,28.75029974,21.773245,0.000597381
80.964111,24.14083115,52.083031,28.13701914,21.774784,0.000600272
81.120415,24.72013084,52.306606,27.83061711,21.783405,0.000599726
81.279716,23.76247001,52.533195,27.6145939,21.780323,0.000597491
81.427246,24.04864534,52.75581,26.96687038,21.781242,0.000597504
81.5905,23.90463351,52.977478,26.53567186,21.778784,0.000597815
81.740463,23.43040292,53.216724,26.42256683,21.781864,0.000597252
81.892258,23.8499449,53.464447,26.04511214,21.785563,0.000598205
82.043121,23.39565913,53.781319,25.80379016,21.787403,0.000596044
82.209999,22.90835737,54.126656,25.46103994,21.790806,0.000596692
82.372673,22.69623618,54.471016,25.02694864,21.790483,0.000593765
82.541069,23.67237231,54.744041,24.38308788,21.803722,0.000593349
82.699806,22.4240635,55.047642,24.1330967,21.794804,0.00059541
82.860069,22.31433254,55.338753,23.82923085,21.790483,0.00059644
83.010063,22.34520005,55.611343,23.68196566,21.796343,0.000597388
83.156151,22.18939949,55.875076,23.34297656,21.80526,0.000595851
83.320938,21.81043758,56.161228,22.82811223,21.799723,0.000594747
83.482132,22.09694336,56.450668,22.65237745,21.804342,0.000595924
83.651161,21.70577921,56.703091,22.25726963,21.805559,0.000593846
83.797554,21.2997944,56.956997,22.10958045,21.809559,0.000594083
83.948189,21.31372604,57.206306,21.92544434,21.81142,0.000593603
84.106995,21.55813527,57.470749,21.38530655,21.81234,0.000593319
84.267891,21.03243332,57.673389,21.26830058,21.818203,0.000593504
84.42849,21.1293638,57.846924,21.01831598,21.817877,0.000593008
84.584572,21.07343882,57.992889,20.5353966,21.816662,0.000595022
84.749123,20.93471457,58.153675,20.17904462,21.820959,0.000591937
84.915794,20.4778209,58.335346,20.02365089,21.821579,0.000592458
85.088203,20.77054178,58.542728,19.68371767,21.823418,0.000594139
85.250343,20.34654094,58.757977,19.33068818,21.835115,0.000595166
85.400726,20.59561798,58.958347,19.15123342,21.832657,0.00059448
85.567398,20.39787709,59.195957,18.87728714,21.838816,0.000592031
85.722321,19.68041322,59.423843,18.73287241,21.844355,0.000591468
85.881165,19.86389281,59.653809,18.35909108,21.845274,0.000591041
86.045479,20.01322016,59.861073,18.05542589,21.850513,0.000591343
86.206451,19.45177097,60.028091,17.80740096,21.860672,0.000590506
86.368324,19.5226992,60.199318,17.57642786,21.858809,0.000591193
86.546829,19.87515664,60.364197,17.36544423,21.864967,0.000590736
86.70874,19.42730929,60.529655,17.23146613,21.862211,0.000590502
86.872177,19.03267396,60.690563,17.06270734,21.87299,0.00058574
87.060661,19.21573031,60.85994,16.8264583,21.870508,0.00058453
87.223206,18.94193269,61.053509,16.66892059,21.877586,0.00058576
87.392067,18.65354819,61.237675,16.48766789,21.881609,0.000583968
87.570015,18.84046565,61.413063,16.25696239,21.884987,0.000585016
87.729858,18.48015637,61.591152,16.04870544,21.884987,0.000586209
87.898178,18.51192941,61.77528,15.93629064,21.893282,0.000587462
88.056511,18.29943506,61.948219,15.70267854,21.902521,0.000585943
