Temperature,Conductivity,Temperature,Conductivity,Temperature,Conductivity
67.498528,0.00233091,35.789562,0.047964752,21.728609,0.193730076
73.753654,0.029473221,35.972977,0.047179248,21.743389,0.184953895
73.894806,0.029504541,36.258484,0.047456265,21.73477,0.18484584
74.023293,0.030194342,36.682652,0.047729016,21.740606,0.185436754
74.135178,0.030100762,37.066368,0.048010306,21.734148,0.185348011
74.264557,0.030820556,37.468067,0.048594152,21.735689,0.186234774
74.392746,0.02997496,37.868393,0.04885898,21.735689,0.185756927
74.530586,0.030789675,38.267384,0.04935126,21.73477,0.185888883
74.642159,0.031009716,38.626904,0.049901518,21.738148,0.185893343
74.784813,0.031760794,38.973431,0.050304751,21.735067,0.186731337
74.924477,0.031291295,39.342846,0.050854157,21.740311,0.186659829
75.066513,0.031417651,39.703884,0.051252772,21.74555,0.185955497
75.218224,0.032168709,40.100975,0.051871795,21.741848,0.185522476
75.358772,0.032545004,40.407497,0.052265832,21.745226,0.185643949
75.503517,0.031636897,40.844791,0.052987445,21.74247,0.185808329
75.633522,0.032702907,41.216385,0.053647756,21.742767,0.186025362
75.780098,0.033046719,41.55508,0.054341944,21.747389,0.186281656
75.927872,0.032734546,41.98275,0.055098225,21.749847,0.186349705
76.078682,0.032890969,42.405685,0.055738473,21.74493,0.186944061
76.218628,0.033142392,42.806152,0.056814985,21.743687,0.186286957
76.36972,0.033236389,43.167027,0.057533909,21.74555,0.185086623
76.522636,0.03339281,43.510674,0.058395526,21.750467,0.185307029
76.670135,0.034176452,43.849358,0.059381219,21.747686,0.185100552
76.812485,0.034960094,44.254219,0.060399075,21.747686,0.18533976
76.965088,0.035241553,44.647976,0.06157139,21.749847,0.185273187
77.122849,0.034709651,44.982971,0.062453985,21.748308,0.185564332
77.280579,0.034772397,45.310242,0.062916023,21.749847,0.18617488
77.425041,0.035399924,45.699707,0.064290888,21.745226,0.186470285
77.571022,0.035743905,46.060062,0.065239553,21.754467,0.185419687
77.732101,0.034804577,46.421223,0.065986896,21.749847,0.184958252
77.876884,0.036935336,46.772541,0.06671625,21.755709,0.185594682
78.04911,0.036622075,47.082901,0.067579409,21.752008,0.185103012
78.202621,0.035432792,47.368835,0.068766033,21.757248,0.184669792
78.349838,0.037907294,47.658035,0.069327975,21.756926,0.184884767
78.497925,0.036905508,47.946568,0.070601339,21.757847,0.184468163
78.656601,0.036529753,48.273132,0.071826596,21.762167,0.184882597
78.814667,0.037438567,48.623344,0.073124077,21.758787,0.185006564
78.962463,0.037126486,48.947304,0.073519528,21.763706,0.18489384
79.118095,0.038035401,49.272717,0.075082186,21.763086,0.18525615
79.268929,0.038568133,49.555756,0.075996066,21.760628,0.18556692
79.431541,0.038599745,49.80801,0.077389539,21.763706,0.18483087
